addr,firstacc,type,T0
1024,0,R,1076
1024,0,W,0
1025,0,R,177489509
1025,0,W,0
1537,0,R,351
1537,0,W,2
1538,0,R,80412764
1538,0,W,43
7550,0,R,17618662
7550,0,W,9247124
34189786589,0,R,96001
34189786589,0,W,961
34189786590,0,R,102400
34189786590,0,W,1024
34189786591,0,R,102400
34189786591,0,W,1024
34189786592,0,R,102400
34189786592,0,W,1024
34189786593,0,R,102400
34189786593,0,W,1024
34189786594,0,R,102400
34189786594,0,W,1024
34189786595,0,R,102400
34189786595,0,W,1024
34189786596,0,R,102400
34189786596,0,W,1024
34189786597,0,R,102400
34189786597,0,W,1024
34189786598,0,R,102400
34189786598,0,W,1024
34189786599,0,R,102400
34189786599,0,W,1024
34189786600,0,R,102400
34189786600,0,W,1024
34189786601,0,R,102400
34189786601,0,W,1024
34189786602,0,R,102400
34189786602,0,W,1024
34189786603,0,R,102400
34189786603,0,W,1024
34189786604,0,R,102400
34189786604,0,W,1024
34189786605,0,R,102400
34189786605,0,W,1024
34189786606,0,R,102400
34189786606,0,W,1024
34189786607,0,R,102400
34189786607,0,W,1024
34189786608,0,R,102400
34189786608,0,W,1024
34189786609,0,R,102400
34189786609,0,W,1024
34189786610,0,R,102400
34189786610,0,W,1024
34189786611,0,R,102400
34189786611,0,W,1024
34189786612,0,R,102400
34189786612,0,W,1024
34189786613,0,R,102400
34189786613,0,W,1024
34189786614,0,R,102400
34189786614,0,W,1024
34189786615,0,R,102400
34189786615,0,W,1024
34189786616,0,R,102400
34189786616,0,W,1024
34189786617,0,R,102400
34189786617,0,W,1024
34189786618,0,R,102400
34189786618,0,W,1024
34189786619,0,R,102400
34189786619,0,W,1024
34189786620,0,R,102400
34189786620,0,W,1024
34189786621,0,R,102400
34189786621,0,W,1024
34189786622,0,R,102400
34189786622,0,W,1024
34189786623,0,R,102400
34189786623,0,W,1024
34189786624,0,R,102400
34189786624,0,W,1024
34189786625,0,R,102400
34189786625,0,W,1024
34189786626,0,R,102400
34189786626,0,W,1024
34189786627,0,R,102400
34189786627,0,W,1024
34189786628,0,R,102400
34189786628,0,W,1024
34189786629,0,R,102400
34189786629,0,W,1024
34189786630,0,R,102400
34189786630,0,W,1024
34189786631,0,R,102400
34189786631,0,W,1024
34189786632,0,R,102400
34189786632,0,W,1024
34189786633,0,R,102400
34189786633,0,W,1024
34189786634,0,R,102400
34189786634,0,W,1024
34189786635,0,R,102400
34189786635,0,W,1024
34189786636,0,R,102400
34189786636,0,W,1024
34189786637,0,R,102400
34189786637,0,W,1024
34189786638,0,R,102400
34189786638,0,W,1024
34189786639,0,R,102400
34189786639,0,W,1024
34189786640,0,R,102400
34189786640,0,W,1024
34189786641,0,R,102400
34189786641,0,W,1024
34189786642,0,R,102400
34189786642,0,W,1024
34189786643,0,R,102400
34189786643,0,W,1024
34189786644,0,R,102400
34189786644,0,W,1024
34189786645,0,R,102400
34189786645,0,W,1024
34189786646,0,R,102400
34189786646,0,W,1024
34189786647,0,R,102400
34189786647,0,W,1024
34189786648,0,R,102400
34189786648,0,W,1024
34189786649,0,R,102400
34189786649,0,W,1024
34189786650,0,R,102400
34189786650,0,W,1024
34189786651,0,R,102400
34189786651,0,W,1024
34189786652,0,R,102400
34189786652,0,W,1024
34189786653,0,R,102400
34189786653,0,W,1024
34189786654,0,R,102400
34189786654,0,W,1024
34189786655,0,R,102400
34189786655,0,W,1024
34189786656,0,R,102400
34189786656,0,W,1024
34189786657,0,R,102400
34189786657,0,W,1024
34189786658,0,R,102400
34189786658,0,W,1024
34189786659,0,R,102400
34189786659,0,W,1024
34189786660,0,R,102400
34189786660,0,W,1024
34189786661,0,R,102400
34189786661,0,W,1024
34189786662,0,R,102400
34189786662,0,W,1024
34189786663,0,R,102400
34189786663,0,W,1024
34189786664,0,R,102400
34189786664,0,W,1024
34189786665,0,R,102400
34189786665,0,W,1024
34189786666,0,R,102400
34189786666,0,W,1024
34189786667,0,R,102400
34189786667,0,W,1024
34189786668,0,R,102400
34189786668,0,W,1024
34189786669,0,R,102400
34189786669,0,W,1024
34189786670,0,R,102400
34189786670,0,W,1024
34189786671,0,R,102400
34189786671,0,W,1024
34189786672,0,R,102400
34189786672,0,W,1024
34189786673,0,R,102400
34189786673,0,W,1024
34189786674,0,R,102400
34189786674,0,W,1024
34189786675,0,R,102400
34189786675,0,W,1024
34189786676,0,R,102400
34189786676,0,W,1024
34189786677,0,R,102400
34189786677,0,W,1024
34189786678,0,R,102400
34189786678,0,W,1024
34189786679,0,R,102400
34189786679,0,W,1024
34189786680,0,R,102400
34189786680,0,W,1024
34189786681,0,R,102400
34189786681,0,W,1024
34189786682,0,R,102400
34189786682,0,W,1024
34189786683,0,R,102400
34189786683,0,W,1024
34189786684,0,R,102400
34189786684,0,W,1024
34189786685,0,R,102400
34189786685,0,W,1024
34189786686,0,R,102400
34189786686,0,W,1024
34189786687,0,R,102400
34189786687,0,W,1024
34189786688,0,R,102400
34189786688,0,W,1024
34189786689,0,R,102400
34189786689,0,W,1024
34189786690,0,R,102400
34189786690,0,W,1024
34189786691,0,R,102400
34189786691,0,W,1024
34189786692,0,R,102400
34189786692,0,W,1024
34189786693,0,R,102400
34189786693,0,W,1024
34189786694,0,R,102400
34189786694,0,W,1024
34189786695,0,R,102400
34189786695,0,W,1024
34189786696,0,R,102400
34189786696,0,W,1024
34189786697,0,R,102400
34189786697,0,W,1024
34189786698,0,R,102400
34189786698,0,W,1024
34189786699,0,R,102400
34189786699,0,W,1024
34189786700,0,R,102400
34189786700,0,W,1024
34189786701,0,R,102400
34189786701,0,W,1024
34189786702,0,R,102400
34189786702,0,W,1024
34189786703,0,R,102400
34189786703,0,W,1024
34189786704,0,R,102400
34189786704,0,W,1024
34189786705,0,R,102400
34189786705,0,W,1024
34189786706,0,R,102400
34189786706,0,W,1024
34189786707,0,R,102400
34189786707,0,W,1024
34189786708,0,R,102400
34189786708,0,W,1024
34189786709,0,R,102400
34189786709,0,W,1024
34189786710,0,R,102400
34189786710,0,W,1024
34189786711,0,R,102400
34189786711,0,W,1024
34189786712,0,R,102400
34189786712,0,W,1024
34189786713,0,R,102400
34189786713,0,W,1024
34189786714,0,R,102400
34189786714,0,W,1024
34189786715,0,R,102400
34189786715,0,W,1024
34189786716,0,R,102400
34189786716,0,W,1024
34189786717,0,R,102400
34189786717,0,W,1024
34189786718,0,R,102400
34189786718,0,W,1024
34189786719,0,R,102400
34189786719,0,W,1024
34189786720,0,R,102400
34189786720,0,W,1024
34189786721,0,R,102400
34189786721,0,W,1024
34189786722,0,R,102400
34189786722,0,W,1024
34189786723,0,R,102400
34189786723,0,W,1024
34189786724,0,R,102400
34189786724,0,W,1024
34189786725,0,R,102400
34189786725,0,W,1024
34189786726,0,R,102400
34189786726,0,W,1024
34189786727,0,R,102400
34189786727,0,W,1024
34189786728,0,R,102400
34189786728,0,W,1024
34189786729,0,R,102400
34189786729,0,W,1024
34189786730,0,R,102400
34189786730,0,W,1024
34189786731,0,R,102400
34189786731,0,W,1024
34189786732,0,R,102400
34189786732,0,W,1024
34189786733,0,R,102400
34189786733,0,W,1024
34189786734,0,R,102400
34189786734,0,W,1024
34189786735,0,R,102400
