"Struct";"Thread";"Type";"NbAccess"
"buffer";"firstacc";"R";0
"buffer";"firstacc";"W";0
"buffer";"T0";"R";32672000
"buffer";"T0";"W";326720
"buffer";"total";"R";32672000
"buffer";"total";"W";326720
"data";"firstacc";"R";0
"data";"firstacc";"W";0
"data";"T0";"R";392535
"data";"T0";"W";588804
"data";"total";"R";392535
"data";"total";"W";588804
"buffer2";"firstacc";"R";0
"buffer2";"firstacc";"W";0
"buffer2";"T0";"R";6457600
"buffer2";"T0";"W";64576
"buffer2";"total";"R";6457600
"buffer2";"total";"W";64576
"prices";"firstacc";"R";0
"prices";"firstacc";"W";0
"prices";"T0";"R";64516
"prices";"T0";"W";6451600
"prices";"total";"R";64516
"prices";"total";"W";6451600
"Stack#0";"firstacc";"R";0
"Stack#0";"firstacc";"W";0
"Stack#0";"T0";"R";74485876
"Stack#0";"T0";"W";63782686
"Stack#0";"total";"R";74485876
"Stack#0";"total";"W";63782686
"total";"firstacc";"R";0
"total";"T0";"R";2080850059
"total";"total";"R";2080850059
"total";"firstacc";"W";0
"total";"T0";"W";1077288658
"total";"total";"W";1077288658
