"Struct";"Thread";"Type";"NbAccess"
"AnonymousStruct3";"firstacc";"R";0
"AnonymousStruct3";"firstacc";"W";0
"AnonymousStruct3";"T0";"R";0
"AnonymousStruct3";"T0";"W";326720
"AnonymousStruct3";"T1";"R";4e+06
"AnonymousStruct3";"T1";"W";0
"AnonymousStruct3";"T2";"R";4096000
"AnonymousStruct3";"T2";"W";0
"AnonymousStruct3";"T3";"R";4096000
"AnonymousStruct3";"T3";"W";0
"AnonymousStruct3";"T4";"R";4096000
"AnonymousStruct3";"T4";"W";0
"AnonymousStruct3";"T5";"R";4096000
"AnonymousStruct3";"T5";"W";0
"AnonymousStruct3";"T6";"R";4096000
"AnonymousStruct3";"T6";"W";0
"AnonymousStruct3";"T7";"R";4096000
"AnonymousStruct3";"T7";"W";0
"AnonymousStruct3";"T8";"R";4096000
"AnonymousStruct3";"T8";"W";0
"AnonymousStruct3";"total";"R";32672000
"AnonymousStruct3";"total";"W";326720
"AnonymousStruct1";"firstacc";"R";0
"AnonymousStruct1";"firstacc";"W";0
"AnonymousStruct1";"T0";"R";392535
"AnonymousStruct1";"T0";"W";588804
"AnonymousStruct1";"T1";"R";0
"AnonymousStruct1";"T1";"W";0
"AnonymousStruct1";"T2";"R";0
"AnonymousStruct1";"T2";"W";0
"AnonymousStruct1";"T3";"R";0
"AnonymousStruct1";"T3";"W";0
"AnonymousStruct1";"T4";"R";0
"AnonymousStruct1";"T4";"W";0
"AnonymousStruct1";"T5";"R";0
"AnonymousStruct1";"T5";"W";0
"AnonymousStruct1";"T6";"R";0
"AnonymousStruct1";"T6";"W";0
"AnonymousStruct1";"T7";"R";0
"AnonymousStruct1";"T7";"W";0
"AnonymousStruct1";"T8";"R";0
"AnonymousStruct1";"T8";"W";0
"AnonymousStruct1";"total";"R";392535
"AnonymousStruct1";"total";"W";588804
"AnonymousStruct4";"firstacc";"R";0
"AnonymousStruct4";"firstacc";"W";0
"AnonymousStruct4";"T0";"R";0
"AnonymousStruct4";"T0";"W";64576
"AnonymousStruct4";"T1";"R";723200
"AnonymousStruct4";"T1";"W";0
"AnonymousStruct4";"T2";"R";819200
"AnonymousStruct4";"T2";"W";0
"AnonymousStruct4";"T3";"R";819200
"AnonymousStruct4";"T3";"W";0
"AnonymousStruct4";"T4";"R";819200
"AnonymousStruct4";"T4";"W";0
"AnonymousStruct4";"T5";"R";819200
"AnonymousStruct4";"T5";"W";0
"AnonymousStruct4";"T6";"R";819200
"AnonymousStruct4";"T6";"W";0
"AnonymousStruct4";"T7";"R";819200
"AnonymousStruct4";"T7";"W";0
"AnonymousStruct4";"T8";"R";819200
"AnonymousStruct4";"T8";"W";0
"AnonymousStruct4";"total";"R";6457600
"AnonymousStruct4";"total";"W";64576
"AnonymousStruct2";"firstacc";"R";295
"AnonymousStruct2";"firstacc";"W";295
"AnonymousStruct2";"T0";"R";64516
"AnonymousStruct2";"T0";"W";0
"AnonymousStruct2";"T1";"R";0
"AnonymousStruct2";"T1";"W";717200
"AnonymousStruct2";"T2";"R";0
"AnonymousStruct2";"T2";"W";819200
"AnonymousStruct2";"T3";"R";0
"AnonymousStruct2";"T3";"W";819200
"AnonymousStruct2";"T4";"R";0
"AnonymousStruct2";"T4";"W";819200
"AnonymousStruct2";"T5";"R";0
"AnonymousStruct2";"T5";"W";819200
"AnonymousStruct2";"T6";"R";0
"AnonymousStruct2";"T6";"W";819200
"AnonymousStruct2";"T7";"R";0
"AnonymousStruct2";"T7";"W";819200
"AnonymousStruct2";"T8";"R";0
"AnonymousStruct2";"T8";"W";819200
"AnonymousStruct2";"total";"R";64811
"AnonymousStruct2";"total";"W";6451895
"total";"firstacc";"R";302
"total";"T0";"R";181814388
"total";"T1";"R";109895629
"total";"T2";"R";109896922
"total";"T3";"R";109893522
"total";"T4";"R";109902026
"total";"T5";"R";109897907
"total";"T6";"R";109897007
"total";"T7";"R";109894907
"total";"T8";"R";109895807
"total";"total";"R";1060988417
"total";"firstacc";"W";302
"total";"T0";"W";104177591
"total";"T1";"W";41200675
"total";"T2";"W";41201076
"total";"T3";"W";41200476
"total";"T4";"W";41202040
"total";"T5";"W";41201259
"total";"T6";"W";41200359
"total";"T7";"W";41201259
"total";"T8";"W";41200359
"total";"total";"W";433785396
